Category: All categories

Week,Magazine: (Oregon)
2019-08-11,68
2019-08-18,69
2019-08-25,69
2019-09-01,67
2019-09-08,70
2019-09-15,70
2019-09-22,65
2019-09-29,69
2019-10-06,68
2019-10-13,70
2019-10-20,67
2019-10-27,63
2019-11-03,70
2019-11-10,73
2019-11-17,70
2019-11-24,70
2019-12-01,65
2019-12-08,80
2019-12-15,85
2019-12-22,72
2019-12-29,67
2020-01-05,71
2020-01-12,69
2020-01-19,68
2020-01-26,72
2020-02-02,71
2020-02-09,73
2020-02-16,68
2020-02-23,65
2020-03-01,67
2020-03-08,65
2020-03-15,65
2020-03-22,68
2020-03-29,74
2020-04-05,72
2020-04-12,69
2020-04-19,69
2020-04-26,70
2020-05-03,65
2020-05-10,70
2020-05-17,65
2020-05-24,60
2020-05-31,67
2020-06-07,70
2020-06-14,71
2020-06-21,69
2020-06-28,69
2020-07-05,64
2020-07-12,63
2020-07-19,67
2020-07-26,64
2020-08-02,66
2020-08-09,63
2020-08-16,64
2020-08-23,64
2020-08-30,69
2020-09-06,57
2020-09-13,63
2020-09-20,65
2020-09-27,61
2020-10-04,69
2020-10-11,64
2020-10-18,69
2020-10-25,65
2020-11-01,57
2020-11-08,67
2020-11-15,67
2020-11-22,69
2020-11-29,67
2020-12-06,77
2020-12-13,71
2020-12-20,69
2020-12-27,62
2021-01-03,65
2021-01-10,70
2021-01-17,70
2021-01-24,60
2021-01-31,67
2021-02-07,67
2021-02-14,63
2021-02-21,60
2021-02-28,64
2021-03-07,62
2021-03-14,62
2021-03-21,65
2021-03-28,60
2021-04-04,61
2021-04-11,66
2021-04-18,60
2021-04-25,57
2021-05-02,59
2021-05-09,58
2021-05-16,56
2021-05-23,56
2021-05-30,57
2021-06-06,56
2021-06-13,50
2021-06-20,54
2021-06-27,52
2021-07-04,57
2021-07-11,56
2021-07-18,45
2021-07-25,48
2021-08-01,47
2021-08-08,51
2021-08-15,52
2021-08-22,52
2021-08-29,54
2021-09-05,57
2021-09-12,57
2021-09-19,58
2021-09-26,51
2021-10-03,58
2021-10-10,58
2021-10-17,60
2021-10-24,58
2021-10-31,57
2021-11-07,59
2021-11-14,60
2021-11-21,56
2021-11-28,58
2021-12-05,61
2021-12-12,58
2021-12-19,62
2021-12-26,55
2022-01-02,65
2022-01-09,65
2022-01-16,67
2022-01-23,64
2022-01-30,65
2022-02-06,62
2022-02-13,73
2022-02-20,66
2022-02-27,69
2022-03-06,65
2022-03-13,67
2022-03-20,65
2022-03-27,63
2022-04-03,61
2022-04-10,63
2022-04-17,66
2022-04-24,58
2022-05-01,62
2022-05-08,58
2022-05-15,58
2022-05-22,58
2022-05-29,60
2022-06-05,64
2022-06-12,60
2022-06-19,64
2022-06-26,59
2022-07-03,58
2022-07-10,61
2022-07-17,66
2022-07-24,60
2022-07-31,58
2022-08-07,57
2022-08-14,58
2022-08-21,58
2022-08-28,63
2022-09-04,54
2022-09-11,61
2022-09-18,60
2022-09-25,62
2022-10-02,62
2022-10-09,57
2022-10-16,60
2022-10-23,72
2022-10-30,67
2022-11-06,95
2022-11-13,100
2022-11-20,95
2022-11-27,92
2022-12-04,89
2022-12-11,77
2022-12-18,68
2022-12-25,63
2023-01-01,63
2023-01-08,68
2023-01-15,66
2023-01-22,68
2023-01-29,61
2023-02-05,61
2023-02-12,65
2023-02-19,62
2023-02-26,63
2023-03-05,65
2023-03-12,63
2023-03-19,62
2023-03-26,65
2023-04-02,62
2023-04-09,59
2023-04-16,58
2023-04-23,60
2023-04-30,59
2023-05-07,54
2023-05-14,53
2023-05-21,54
2023-05-28,53
2023-06-04,53
2023-06-11,55
2023-06-18,56
2023-06-25,52
2023-07-02,50
2023-07-09,55
2023-07-16,49
2023-07-23,50
2023-07-30,53
2023-08-06,55
2023-08-13,52
2023-08-20,50
2023-08-27,55
2023-09-03,54
2023-09-10,59
2023-09-17,56
2023-09-24,58
2023-10-01,60
2023-10-08,51
2023-10-15,59
2023-10-22,61
2023-10-29,57
2023-11-05,70
2023-11-12,60
2023-11-19,60
2023-11-26,61
2023-12-03,72
2023-12-10,63
2023-12-17,64
2023-12-24,59
2023-12-31,58
2024-01-07,57
2024-01-14,53
2024-01-21,58
2024-01-28,54
2024-02-04,59
2024-02-11,50
2024-02-18,60
2024-02-25,57
2024-03-03,58
2024-03-10,50
2024-03-17,55
2024-03-24,59
2024-03-31,56
2024-04-07,58
2024-04-14,55
2024-04-21,52
2024-04-28,54
2024-05-05,58
2024-05-12,49
2024-05-19,51
2024-05-26,49
2024-06-02,53
2024-06-09,48
2024-06-16,45
2024-06-23,51
2024-06-30,66
2024-07-07,46
2024-07-14,49
2024-07-21,48
2024-07-28,50
2024-08-04,48
2024-08-11,53
